ERROR MISSING DATA: ;;;;;;;;;;;;;;;;;;;;;
EXTF;141;16;Debitoren/Kreditoren;1;2,02E+16;0;;;;1;1;20200101;4;20200101;20200101;Personenkonten vom 01.01.2020 00:00:00 bis 01.01.2020 00:00:00;LJ;1;0;0;EUR
Umsatz ohne S/H Kennzeichen;S/H Kennzeichen;WKZ;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Kontonummer;Gegenkonto ohne BU Schluessel;BU Schluessel;Belegdatum;Belegfeld 1;Belegfeld 2 (nur fuer Zahlungsfaelligkeiten);Skonto;Buchungstext;;;;;;;;
11583,91;S;EUR;1;;;34574;8411;;2311;R202010336;;;01.06.2020-30.06.2020 Projektunterstützung Sebastian Doil ..;
1566;S;EUR;1;;;37154;8349;;2311;R202010337;;;Stiller Alarm Standard Lizenz;
41,76;S;EUR;1;;;37154;8352;;2311;R202010337;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..;
240,98;S;EUR;1;;;37154;8410;;2311;R202010337;;;Standard-Support Laufzeit: 1 Jahr ab Bestellung 15% vom ..;
1682;S;EUR;1;;;37153;8349;;2311;R202010338;;;Stiller Alarm Standard Lizenz  Aktion: 1. Jahr Support in..;
208,8;S;EUR;1;;;37153;8352;;2311;R202010338;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..;
595;S;EUR;1;;;37153;8410;;2311;R202010338;;;Stiller Alarm Health Check Paket S (halbjährliche Prüfung)..;
191,4;S;EUR;1;;;35590;8349;;2411;R202010339;;;Stiller Alarm Standard Lizenz, Upgrade von Stiller Alarm Light auf Stiller Alarm Standard..;
129,41;S;EUR;1;;;35590;8410;;2411;R202010339;;;Standard-Support Laufzeit: 1 Jahr ab Bestellung 15% vom ..;
522;S;EUR;1;;;35239;8350;;2611;R202010340;;;Stiller Alarm Support Dienstleistung -De- und Neuinstalla..;
595;H;EUR;1;;;37094;8409;;2711;RS2010008;;;Lizenzpaket für bis zu 15 Standard-Lizenzen inklusive 1 J..;
93,96;S;EUR;1;;;37094;8352;;2711;RS2010008;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..;
595;H;EUR;1;;;37094;8401;;2711;RS2010008;;;#NAME?;
168,2;S;EUR;1;;;34988;8349;;2711;R202010341;;;Stiller Alarm Standard Lizenz Vers. 6.4;
4,28;S;EUR;1;;;34988;8410;;2711;R202010341;;;Standard-Support Laufzeit angepasst an bestehende Lizenze..;
103,53;S;EUR;1;;;37085;8410;;2711;R202010342;;;Standard-Support Laufzeit: 01.12.2020 - 30.11.2021 15% v..;
362,36;S;EUR;1;;;37065;8410;;3011;R202010343;;;Standard-Support Laufzeit: 1 Jahr ab 01.12.2020  - 30.11...;
20,88;S;EUR;1;;;37077;8352;;3011;R202010344;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..;
;;;;;;;;;;;;;;;;;;;;;
******************Problems*******************;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
******************CUSTOMER*******************;;;;;;;;;;;;;;;;;;;;;
CUSTOMER;VATID;DEBITORID;CUSTOMERID;;;;;;;;;;;;;;;;;;
Stadt Lippstadt;;;34726;;;;;;;;;;;;;;;;;;
Verbandsgemeinde Oberes Glantal;;;35578;;;;;;;;;;;;;;;;;;
"""BITS & BYTES"" EDV- Planungs- Vertrieb- und Schulungs GmbH";;;37077;;;;;;;;;;;;;;;;;;
Stadtverwaltung Brand-Erbisdorf;;;35602;;;;;;;;;;;;;;;;;;
Gemeinde Oberkrämer;;;37154;;;;;;;;;;;;;;;;;;
Stadt Mölln;;;34963;;;;;;;;;;;;;;;;;;
Samtgemeinde Horneburg;;;37084;;;;;;;;;;;;;;;;;;
JAEMACOM GmbH;DE259800582;;34574;;;;;;;;;;;;;;;;;;
Stadt Trostberg;;;37153;;;;;;;;;;;;;;;;;;
Magistrat der Stadt Lorch;;;37150;;;;;;;;;;;;;;;;;;
Gemeinde Salach;;;37149;;;;;;;;;;;;;;;;;;
Amt Bordesholm;;;34898;;;;;;;;;;;;;;;;;;
CVJM Essen Sozialwerk gGmbH;;;34988;;;;;;;;;;;;;;;;;;
Verbandsgemeindeverwaltung Schweich;;;37148;;;;;;;;;;;;;;;;;;
Samtgemeinde Ahlden;;;35590;;;;;;;;;;;;;;;;;;
Rhein-Erft-Kreis, Der Landrat;;;37086;;;;;;;;;;;;;;;;;;
Gemeinde Drochtersen;;;35396;;;;;;;;;;;;;;;;;;
Gemeinde Veitshöchheim;;;35397;;;;;;;;;;;;;;;;;;
Stadt Jülich;;;35424;;;;;;;;;;;;;;;;;;
Stadtwerke Ostmünsterland GmbH & Co. KG;;;37091;;;;;;;;;;;;;;;;;;
BA Treptow-Köpenick;;;35354;;;;;;;;;;;;;;;;;;
SoCura GmbH - Servicegesellschaft der Malteser;;;37090;;;;;;;;;;;;;;;;;;
Stadtverwaltung Bernau;;;37065;;;;;;;;;;;;;;;;;;
Studentenwerk Dresden, AöR;;;34850;;;;;;;;;;;;;;;;;;
Stadtverwaltung Düren;;;37089;;;;;;;;;;;;;;;;;;
Argus Rechnersysteme GmbH;;;37152;;;;;;;;;;;;;;;;;;
Gemeinde Barbing;;;37040;;;;;;;;;;;;;;;;;;
IKT-Ost AöR;;;34725;;;;;;;;;;;;;;;;;;
Stadt Heilbronn;;;37092;;;;;;;;;;;;;;;;;;
Selbsthilfe 91 e.V.;;;37094;;;;;;;;;;;;;;;;;;
Sozialdienst kath. Frauen Recklinghausen e.V.;;;37085;;;;;;;;;;;;;;;;;;
